id,symbol,created_at,exchanges,category,logoUrl,volatility_index,hurst_4h,hurst_8h,hurst_12h,hurst_1d,efficiency_index,trend_harmony_index,btc_correlation,returns_skewness,avg_wick_ratio,relative_strength_vs_btc,max_drawdown_percent,entropy,kurtosis,autocorrelation,entropy_4h,entropy_8h,entropy_12h,entropy_1d
142,YFI/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,yfi.png,4.3543,0.462,0.4722,0.4412,0.4093,0.0289,0.0889,-0.0154,0.2245,4.1873,0.6502,-19.16,,1.7216,-0.1668,2.3493574,2.506977,2.1752944,2.552564
143,APT/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,apt.png,5.7303,0.4657,0.468,0.437,0.4276,0.0173,0.0889,0.0067,-0.2493,13.5689,0.7212,-28.24,,1.1707,0.1,2.24293,2.5679963,2.4009554,2.690309
144,ENA/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,ena.png,8.8685,0.6474,0.6812,0.7048,0.6538,0.082,0.0222,-0.0634,1.0073,3.818,1.1712,-32.75,,2.1972,-0.0388,2.1760335,2.6987636,2.3177657,2.6759326
145,IP/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",5,ip.png,12.5895,0.7572,0.7664,0.88,0.8706,0.1331,0.1111,0.0743,0.392,79.4458,1.409,-39.64,,5.3928,-0.1518,1.2951578,1.6425252,2.0380476,2.1295764
146,PAXG/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",6,paxg.png,1.3317,0.5739,0.5981,0.6087,0.5925,0.3834,0.1556,-0.0878,0.5348,12.2965,0.8235,-3.83,,0.1881,0.0148,2.1067176,2.4728296,2.5603545,2.998318
147,XVS/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],3,xvs.png,7.7665,0.4866,0.5031,0.4567,0.4103,0.0312,0.0,0.033,0.1327,3.1402,0.7529,-20.52,,0.5047,-0.1048,2.5087142,2.411908,2.5890872,2.842194
148,BLUR/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,blur.png,6.691,0.5975,0.6002,0.5889,0.5647,0.0533,0.0,0.0812,0.082,2.7246,0.5754,-36.39,,0.3212,-0.0534,2.135434,2.135109,2.401723,2.860702
149,PARTI/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",4,parti.png,11.1673,0.6318,,0.6642,0.7008,0.0634,0.1333,0.1465,0.8905,2.7661,0.5155,-49.05,,2.2097,-0.1663,2.0681849,,2.2627776,2.6289566
150,AVAAI/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],2,avaai.png,11.3473,0.7387,0.7746,0.7161,0.7675,0.0815,0.0444,-0.0217,3.2855,3.5459,0.3823,-66.64,,20.6193,-0.0394,1.2663364,1.4574977,1.5097262,1.7159462
151,XTZ/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",3,xtz.png,5.7459,0.59,0.6849,0.6154,0.6101,0.0215,0.0333,-0.0452,5.0385,inf,0.7462,-38.6,,39.1063,0.103,1.3558372,1.7468145,1.4409178,1.5922348
152,CHESS/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],1,chess.png,8.1229,0.4793,0.4792,0.4587,0.4165,0.0469,0.0222,-0.0046,-0.3095,4.7787,0.5879,-33.44,,1.39,-0.2495,1.8752066,2.3374023,2.5875921,2.6231384
153,KAIA/USDT:USDT,2025-10-09 21:15:16.550171+00:00,"['binance', 'bybit']",2,kaia.png,4.7864,0.609,0.6025,0.6245,0.6313,0.0546,0.0444,0.0214,-0.1605,5.6016,0.6141,-23.35,,0.3472,-0.0529,2.1075013,2.4962027,2.5174954,2.848332
154,TST/USDT:USDT,2025-10-09 21:15:16.550171+00:00,['binance'],4,tst.png,17.3085,0.6519,0.6523,0.6985,0.7597,0.0575,0.2222,0.0716,1.0648,4.2702,0.5314,-49.53,,10.2063,0.0824,0.5949939,0.9458667,1.4789016,1.7401146
